Nr,Pavadinimas,Miestas,Adresas,Koordinatės,Google nuoroda
1,Panorama,Vilnius,Narbuto g. ,"54.698449199091, 25.2620561818491","https://www.google.com/maps?q=54.698449199091,25.2620561818491"
2,Laisvės kelias,Vilnius,Konstitucijos pr. ,"54.6987132912884, 25.2654651950856","https://www.google.com/maps?q=54.6987132912884,25.2654651950856"
3,Narbuto žiedas,Vilnius,Narbuto g.,"54.6984492018234, 25.2617670946672","https://www.google.com/maps?q=54.6984492018234,25.2617670946672"
4,Justiniškės,Vilnius,Laisvės pr. ,"54.7032119441998, 25.2239324150073","https://www.google.com/maps?q=54.7032119441998,25.2239324150073"
5,Kareivių,Vilnius,Kareivių ir Verkių g. sankirta,"54.716856, 25.294445","https://www.google.com/maps?q=54.716856,25.294445"
6,Compensa,Vilnius,Ozo ir Kernvės g. sankirta,"54.7128, 25.277444","https://www.google.com/maps?q=54.7128,25.277444"
7,Mada,Vilnius,Laisvės pr. ,"54.7031718951344, 25.223897528785","https://www.google.com/maps?q=54.7031718951344,25.223897528785"
8,Senukai,Vilnius,Ukmergės g. 248,"54.724182, 25.241967","https://www.google.com/maps?q=54.724182,25.241967"
9,Nordika,Vilnius,Vikingų g. 2,"54.65219, 25.277239","https://www.google.com/maps?q=54.65219,25.277239"
10,Kalvarijų,Vilnius,Kalvarijų g. 206,"54.723259, 25.282059","https://www.google.com/maps?q=54.723259,25.282059"
11,Ukmergės,Vilnius,Ukmergės g. ir Perkūnkiemio g. sankryža,"54.7423526072123, 25.2227736926475","https://www.google.com/maps?q=54.7423526072123,25.2227736926475"
12,Spaudos rūmai,Vilnius,Pilaitės pr. ir Spaudos g.,"54.7000813342378, 25.2118304746126","https://www.google.com/maps?q=54.7000813342378,25.2118304746126"
13,Outlet,Vilnius,Pilaitės pr. ir V. Pociūno g. Vilnius,"54.7014082262329, 25.2034946744333","https://www.google.com/maps?q=54.7014082262329,25.2034946744333"
14,Pašilaičiai,Vilnius,Ukmergės g. ir Perkūnkiemio g. sankryža,"54.7421953100709, 25.2231045148897","https://www.google.com/maps?q=54.7421953100709,25.2231045148897"
15,Pilaitė,Vilnius,Pilaitės pr. ir Spaudos g.  sankirta,"54.7000190705464, 25.2122171767247","https://www.google.com/maps?q=54.7000190705464,25.2122171767247"
